topology_build_id	topology_relationship_id	relationship_family_id	topology_dimension	relationship_kind	derivation_basis	relationship_scope	relationship_classification	member_count	basis_component_count	source_identity_expansion_status	statistical_testing_status	namespace_mediation_status	input_corpus_generation_id	geometry_input_status	geometry_boundary_note
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_0520108966992c391978a62f	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	6	9	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_05df66ae7d19f0a6522d4be6	validation_status_membership	metadata	validation_status_membership	shared_validation_status	metadata	metadata_level_topology	12	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_103f95022b01c3da86a623d1	validation_status_membership	metadata	validation_status_membership	shared_validation_status	metadata	metadata_level_topology	26	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_12d1a5beed9c71a4b40b44b8	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	4	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_15a1ef5820d122670acca282	resolver_status_membership	metadata	resolver_status_membership	shared_resolver_status	metadata	metadata_level_topology	12	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_1703a748aeeadc19ef28f88a	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	12	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_1b9fe885b0b96589c1df4a99	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_1fe23d575e6fbf50274ec0bd	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	8	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_21ac1e670d48aa86931dfb22	corpus_metadata_membership	corpus_generation	corpus_metadata_membership	shared_corpus_generation	metadata	metadata_level_topology	52	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_22c0fbf11476fa1e22e5a02e	resolver_status_membership	metadata	resolver_status_membership	shared_resolver_status	metadata	metadata_level_topology	14	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_248373b1c65a13609eadbe21	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_250fa5ea1d0e8a8ac9c09be3	preservation_status_membership	metadata	preservation_status_membership	shared_preservation_status	metadata	metadata_level_topology	52	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_25f657b791e18587fc64305a	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	4	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_2723b41c9e79bcaecbf24c9c	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	2	5	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_27a8442cff1605c9926c5834	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	40	43	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_29335385c412125478b5d13f	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	8	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_2a345cb4a48ddb3cc2525037	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_2ba1932882e8463b693dfd5e	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	4	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_30a8033086d4fbb8d4b35e7e	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_313aa3f0542492b08a79c7a2	producer_family_membership	producer	producer_family_membership	shared_producer_family	metadata	metadata_level_topology	40	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_3c1a89c89719aee673446a13	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	40	43	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_413096b09b334a83cd999e0a	source_identity_resolution_status_membership	namespace	source_identity_resolution_status_membership	shared_source_identity_resolution_status	source_identity_set	immediately_derived_topology	204	205	available_by_source_identity_set_reference	requires_source_identity_expansion	not_applicable	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_41a31269ca2ec2baed65e9cc	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	8	11	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_450047e465bfa22a1e31b108	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_486a0947c1fe06168ae2f07e	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_5e9ffa09c7b10759881e3d4a	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	4	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_6932dc8f8428d1d93d4be8ce	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	4	7	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_6c7a3a84ca80a1519053cde1	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_70a7eb55e0f8d90a4026a80b	resolver_status_membership	metadata	resolver_status_membership	shared_resolver_status	metadata	metadata_level_topology	26	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_784269f4fa3b6b67d23b6d55	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	10	13	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_7860f04302fe85cc90d13241	registration_unit_membership	registration_unit	registration_unit_membership	shared_registration_unit	metadata	metadata_level_topology	6	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_890661eb54e5e3f6e89ae9eb	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_8ef083d5b399550ecd632d36	registration_unit_membership	registration_unit	registration_unit_membership	shared_registration_unit	metadata	metadata_level_topology	10	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_8fbecec332541d4e3d75de08	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	10	13	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_935caaed7a6a18dda5dc7214	registration_unit_membership	registration_unit	registration_unit_membership	shared_registration_unit	metadata	metadata_level_topology	10	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_a0b210a072317c6a6023fd4f	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_a3fdef3f4ff5d8c6d10fcbf8	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	4	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_a4aab1fc26846a1062826d36	source_identity_set_status_membership	metadata	source_identity_set_status_membership	shared_source_identity_set_status	source_identity_set	immediately_derived_topology	204	205	available_by_source_identity_set_reference	requires_source_identity_expansion	not_applicable	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_a77fe3ca2f8c7e7f74283208	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	4	7	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_a791b522949de01985eea3c3	registration_unit_membership	registration_unit	registration_unit_membership	shared_registration_unit	metadata	metadata_level_topology	10	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_c252280728584ab23874aa96	source_identity_lossiness_status_membership	metadata	source_identity_lossiness_status_membership	shared_source_identity_lossiness_status	source_identity_set	immediately_derived_topology	204	205	available_by_source_identity_set_reference	requires_source_identity_expansion	not_applicable	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_c3387bd5c35512ab195e2232	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_cd8f4aa050f15895ed65c3ff	registration_unit_membership	registration_unit	registration_unit_membership	shared_registration_unit	metadata	metadata_level_topology	6	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_d7ced9a74b6773aed0f71e28	validation_status_membership	metadata	validation_status_membership	shared_validation_status	metadata	metadata_level_topology	14	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_d883ce038accd123ca53b52d	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	8	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_decbb0b8c8842e43bfb75033	registration_unit_membership	registration_unit	registration_unit_membership	shared_registration_unit	metadata	metadata_level_topology	10	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_df53ecf103992b9da7557ee3	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_e64cc13c48f8c672e8506ecd	producer_family_membership	producer	producer_family_membership	shared_producer_family	metadata	metadata_level_topology	12	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_ed757c76f4f269aecd23ec6f	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	8	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_efff83b11efa78b8ca7e6268	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	40	43	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_f287f78107385cb161b29d4c	relationship_class_membership	relationship	relationship_class_membership	shared_relationship_class	metadata	metadata_level_topology	12	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_f36ef302fd2c8852d487c94d	source_identity_set_role_namespace_membership	participant	source_identity_set_role_namespace_membership	shared_source_identity_set_role_kind_namespace	source_identity_set	immediately_derived_topology	40	43	available_by_source_identity_set_reference	requires_source_identity_expansion	source_namespace_only	mark_phase4_corpus_6tep_v1	requires_controlled_expansion_before_exact_geometry	Topology relationship preserves expansion handles; exact geometry requiring source identity values is deferred.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_f71be9e3985100a9111f0fe6	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	2	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
mark_phase4_corpus_6tep_v1_topology_build_v1	topology_rel_f90d6dafc2885f92a6e948be	assertion_type_membership	relationship	assertion_type_membership	shared_assertion_type	metadata	metadata_level_topology	4	1	not_required	not_statistical_input	not_applicable	mark_phase4_corpus_6tep_v1	metadata_context_only	Metadata topology is available as context for downstream geometry characterization.
