stage	artifact_role	artifact_path	namespace_column	source_namespace	identity_kind	participant_role	identity_route	row_count	source_identity_count_total	empty_namespace_rows	audit_note
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	gsc_ensembl_gene_id		gene	gene_brokerage	10	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	gsc_gene_symbol		gene_label	gene_brokerage	8	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	gsc_phenotype		phenotype	phenotype_or_overlay_brokerage	10	0	0	Phenotype/overlay context must remain scoped and should not collapse into gene identity.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	gsc_provenance_id		provenance	producer_or_observation_brokerage	6	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	gsc_semantic_channel		semantic_channel	producer_or_observation_brokerage	2	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	gsc_source_gene_id		source_gene	gene_brokerage	4	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	gsc_source_id		evidence_source	producer_or_observation_brokerage	4	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	vap_ensembl_gene_id		gene	gene_brokerage	40	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	vap_gene_symbol		gene	gene_brokerage	40	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	vap_sample_id		sample	producer_or_observation_brokerage	40	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_participants	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_participants.tsv	participant_source_namespace	vap_variant_id		variant	default_coordinate_or_variant_brokerage	40	0	0	Variant/coordinate-like identity must remain first-class; value-level coordinate trace requires MARK if compact output only preserves handles.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	gsc_ensembl_gene_id	gene	gene	gene_brokerage	10	38852	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	gsc_gene_symbol	gene_label	gene_label	gene_brokerage	8	31428	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	gsc_phenotype	phenotype	phenotype	phenotype_or_overlay_brokerage	10	38852	0	Phenotype/overlay context must remain scoped and should not collapse into gene identity.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	gsc_provenance_id	provenance	provenance	producer_or_observation_brokerage	6	24004	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	gsc_semantic_channel	semantic_channel	semantic_channel	producer_or_observation_brokerage	2	8290	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	gsc_source_gene_id	source_gene	source_gene	gene_brokerage	4	16566	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	gsc_source_id	evidence_source	evidence_source	producer_or_observation_brokerage	4	16580	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	vap_ensembl_gene_id	gene	gene	gene_brokerage	40	49255528	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	vap_gene_symbol	gene	gene	gene_brokerage	40	49255528	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	vap_sample_id	sample	sample	producer_or_observation_brokerage	40	40	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_source_identity_sets	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_sets.tsv	source_namespace	vap_variant_id	variant	variant	default_coordinate_or_variant_brokerage	40	49255528	0	Variant/coordinate-like identity must remain first-class; value-level coordinate trace requires MARK if compact output only preserves handles.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	gsc_ensembl_gene_id	gene	gene	gene_brokerage	10	38852	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	gsc_gene_symbol	gene_label	gene_label	gene_brokerage	8	31428	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	gsc_phenotype	phenotype	phenotype	phenotype_or_overlay_brokerage	10	38852	0	Phenotype/overlay context must remain scoped and should not collapse into gene identity.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	gsc_provenance_id	provenance	provenance	producer_or_observation_brokerage	6	24004	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	gsc_semantic_channel	semantic_channel	semantic_channel	producer_or_observation_brokerage	2	8290	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	gsc_source_gene_id	source_gene	source_gene	gene_brokerage	4	16566	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	gsc_source_id	evidence_source	evidence_source	producer_or_observation_brokerage	4	16580	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	vap_ensembl_gene_id	gene	gene	gene_brokerage	40	49255528	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	vap_gene_symbol	gene	gene	gene_brokerage	40	49255528	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	vap_sample_id	sample	sample	producer_or_observation_brokerage	40	40	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_3_assertion_records	assertion_record_source_identity_summary	results/phase4/assertion_records/mark_phase4_corpus_6tep_v1/assertion_record_source_identity_summary.tsv	source_namespace	vap_variant_id	variant	variant	default_coordinate_or_variant_brokerage	40	49255528	0	Variant/coordinate-like identity must remain first-class; value-level coordinate trace requires MARK if compact output only preserves handles.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	namespace_bridge_id				unknown_or_deferred	11	0	11	Route could not be classified from compact namespace fields alone.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	namespace_mediation_status	source_namespace_only			producer_or_observation_brokerage	11	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	namespace_policy_status	canonical_identity_matching_disabled_v1			unknown_or_deferred	11	0	0	Route could not be classified from compact namespace fields alone.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	gsc_ensembl_gene_id			gene_brokerage	1	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	gsc_gene_symbol			gene_brokerage	1	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	gsc_phenotype			phenotype_or_overlay_brokerage	1	0	0	Phenotype/overlay context must remain scoped and should not collapse into gene identity.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	gsc_provenance_id			producer_or_observation_brokerage	1	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	gsc_semantic_channel			producer_or_observation_brokerage	1	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	gsc_source_gene_id			gene_brokerage	1	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	gsc_source_id			producer_or_observation_brokerage	1	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	vap_ensembl_gene_id			gene_brokerage	1	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	vap_gene_symbol			gene_brokerage	1	0	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	vap_sample_id			producer_or_observation_brokerage	1	0	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_namespace_mediation	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_namespace_mediation.tsv	source_namespace_summary	vap_variant_id			default_coordinate_or_variant_brokerage	1	0	0	Variant/coordinate-like identity must remain first-class; value-level coordinate trace requires MARK if compact output only preserves handles.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	gsc_ensembl_gene_id	gene	gene	gene_brokerage	40	155408	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	gsc_gene_symbol	gene_label	gene_label	gene_brokerage	32	125712	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	gsc_phenotype	phenotype	phenotype	phenotype_or_overlay_brokerage	40	155408	0	Phenotype/overlay context must remain scoped and should not collapse into gene identity.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	gsc_provenance_id	provenance	provenance	producer_or_observation_brokerage	24	96016	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	gsc_semantic_channel	semantic_channel	semantic_channel	producer_or_observation_brokerage	8	33160	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	gsc_source_gene_id	source_gene	source_gene	gene_brokerage	16	66264	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	gsc_source_id	evidence_source	evidence_source	producer_or_observation_brokerage	16	66320	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	vap_ensembl_gene_id	gene	gene	gene_brokerage	160	197022112	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	vap_gene_symbol	gene	gene	gene_brokerage	160	197022112	0	Gene identity is a routed specialization; source namespace and producer context must remain visible.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	vap_sample_id	sample	sample	producer_or_observation_brokerage	160	160	0	Producer/observation identity supplies scope and provenance for evidence interpretation.
phase4_4_evidence_topology	topology_source_identity_expansion_index	results/phase4/evidence_topology/mark_phase4_corpus_6tep_v1_topology_build_v1/topology_source_identity_expansion_index.tsv	source_namespace	vap_variant_id	variant	variant	default_coordinate_or_variant_brokerage	160	197022112	0	Variant/coordinate-like identity must remain first-class; value-level coordinate trace requires MARK if compact output only preserves handles.
